task_name,task_count,job_id,none1,status,start_time,end_time,none2,none3
M1_7,71,j_82607,1,Terminated,215353,215425,50,0.39
J1_4_23,1,j_85471,1,Terminated,492417,492488,100,0.59
J1_8_9,3,j_85803,1,Terminated,436676,436677,100,0.59
R1_19,1,j_87039,1,Terminated,360648,360930,50,0.2
J1_7_11,2,j_87370,1,Terminated,168830,168889,100,0.59
J1_7_10,83,j_94363,1,Terminated,630609,630653,100,0.59
R1_23,83,j_97837,1,Terminated,627637,628152,100,0.49
M1_10,3,j_99719,1,Terminated,258910,258915,100,0.3
R1_7_8,65,j_107102,1,Terminated,504099,504307,50,0.3
J1_2_10,1,j_107988,1,Terminated,564504,564507,100,0.59
J1_6_7,249,j_111956,1,Terminated,626644,626661,100,0.59
R1_2_3,21,j_113313,1,Terminated,376213,376246,100,0.49
J1_5_13,1,j_118471,1,Terminated,89942,89946,50,0.2
M1_11_13,1,j_120271,1,Terminated,543348,543360,50,0.2
J1_5_8,713,j_121098,1,Terminated,582265,582274,100,0.59
R1_4_5,19,j_123083,1,Terminated,689466,689571,50,0.39
R1_20,1,j_123872,1,Terminated,176532,176555,100,0.49
R1_16,3,j_132660,1,Terminated,201421,201537,50,0.2
M1_16,875,j_142814,1,Terminated,259958,259986,50,0.2
J1_8_10,3,j_173656,1,Terminated,385753,385758,100,0.59
J1_13,1,j_173893,1,Terminated,119308,119339,100,0.59
R1_42,1,j_178904,1,Terminated,372047,372118,50,0.2
J1_2_6,54,j_182336,1,Terminated,177055,177119,100,0.59
J1_2_4,1,j_190218,1,Terminated,268442,268478,50,0.39
J1_3_17,1,j_190544,1,Terminated,347276,347758,50,0.2
J1_7_8,1,j_194896,1,Terminated,455623,455920,50,0.2
M1_18,37,j_199613,1,Terminated,533983,534030,50,0.39
J1_3_7,89,j_204090,1,Terminated,455896,456174,50,0.39
R1_26,11,j_206780,1,Terminated,233013,233143,50,0.39
R1_24,139,j_218684,1,Terminated,309573,309601,100,0.49
M1_23,335,j_226943,1,Terminated,452726,453067,50,0.69
J1_9_11,1,j_228781,1,Terminated,283905,283956,50,0.3
M1_3_8_9,565,j_231749,1,Terminated,264121,264170,50,0.59
M1_3_6_8,37,j_245862,1,Terminated,581969,581979,100,0.3
R1_44,10,j_248952,1,Terminated,209226,209238,100,0.49
M1_Stg1,1,j_256657,1,Running,558169,558169,,
R1_25,1,j_258735,1,Terminated,369534,369545,50,0.2
J1_2_7,73,j_262058,1,Terminated,369734,370030,50,0.39
M1_6_10,379,j_264336,1,Terminated,437806,438237,50,0.39
J1_3_9,1000,j_266226,1,Terminated,346941,346966,50,2.35
J1_3_10,1,j_275528,1,Terminated,252188,252194,100,0.59
M1_3_5,13,j_277228,1,Terminated,555664,556059,50,0.39
R1_47,1,j_281668,1,Terminated,406070,406073,100,0.49
M1_3_5_7_9_11,49,j_282732,1,Terminated,594758,595001,50,0.39
R1_75,2,j_283367,1,Terminated,576089,576101,100,0.49
J1_4_5_7,3,j_284005,1,Terminated,615440,615511,50,0.2
J1_4_6,3,j_291576,1,Terminated,198306,198407,50,0.39
R1_27,11,j_295143,1,Terminated,588532,588590,100,0.49
J1_4_7,69,j_306169,1,Terminated,570949,570955,100,0.59
J1_2_4_6,51,j_307668,1,Terminated,508204,508255,50,0.3
R1_3_13,3,j_319677,1,Terminated,595562,595564,100,0.49
M1_6_8_10_12,1,j_330322,1,Terminated,278444,278446,50,0.2
R1_34,1,j_335869,1,Terminated,201788,201797,100,0.49
R1_53,3,j_337667,1,Terminated,543880,544011,50,0.2
J1_5_11,7,j_337693,1,Terminated,161000,161012,100,0.59
J1_5_10,249,j_339460,1,Terminated,185427,185897,50,0.39
R1_2_4,1,j_345399,1,Terminated,669575,669579,100,0.59
R1_5_6,1,j_352124,1,Terminated,100452,100504,50,0.2
J1_6_28,99,j_386675,1,Terminated,550745,550777,100,0.59
J1_5_12,5,j_393197,1,Terminated,528840,528845,100,0.59
J1_13_14_15,1,j_394272,1,Terminated,178041,178111,50,0.3
R1_35,195,j_398749,1,Terminated,456808,461162,50,0.39
J1_9_10,5,j_414939,1,Terminated,294429,294442,100,0.59
R1_45,1,j_428934,1,Terminated,450473,450484,100,0.49
J1_10_15,11,j_431857,1,Terminated,367418,367486,100,0.59
M1_15_18,1,j_437983,1,Terminated,164043,164051,100,0.3
J1_4_12,1,j_439224,1,Terminated,637387,637427,100,0.59
J1_3_4_6,5,j_441438,1,Terminated,104466,104479,100,0.79
J1_3_11_14,9,j_454602,1,Terminated,457219,457299,100,0.64
R1_5_8,1,j_457173,1,Terminated,274005,274145,50,0.3
J1_6_9,422,j_482176,1,Terminated,366445,370903,50,0.39
M1_6_9,67,j_490957,1,Terminated,452599,453040,50,0.39
J1_8_15,19,j_497197,1,Terminated,188797,189011,50,0.39
J1_3_4_9_11,13,j_498374,1,Terminated,383733,383772,100,0.59
J1_8_11,1111,j_511987,1,Terminated,395787,396165,100,0.59
J1_7_12,19,j_524977,1,Terminated,170637,171123,50,0.3
M1_11,3,j_544497,1,Terminated,645065,645091,100,0.3
J1_51_52,1,j_558986,1,Terminated,186791,186794,50,0.2
R1_9_11,1,j_559523,1,Terminated,193562,193587,50,0.3
M1_5_7_9_11,1,j_566844,1,Terminated,362726,362730,50,0.2
R1_100,1,j_567184,1,Terminated,524388,524418,50,0.2
M1_12,1800,j_574003,1,Terminated,532407,532729,50,0.59
J1_5_17,7,j_574823,1,Terminated,432085,432554,50,0.3
J1_4_10,137,j_576011,1,Terminated,323413,323433,100,0.64
R1_3_6,1,j_591713,1,Terminated,529746,529814,50,0.2
R1_60,1,j_597534,1,Terminated,623174,623183,100,0.49
R1_52,3,j_639845,1,Terminated,371125,371129,100,0.49
R1_2_5_6,11,j_653435,1,Terminated,191724,191782,100,0.49
J1_12_13,1,j_655534,1,Terminated,630301,630378,50,0.2
M1_4_6_8_11_13,3,j_670387,1,Terminated,520118,520124,100,0.2
M1_4_5,1,j_673005,1,Terminated,634306,634623,50,0.2
J1_4_8,1,j_688716,1,Terminated,299319,299343,50,0.2
J1_10_11,3,j_695722,1,Terminated,187740,188080,50,0.59
J1_2_29,3,j_717919,1,Terminated,620194,620243,50,0.2
R1_8_9,61,j_722753,1,Terminated,532164,532539,50,0.39
R1_38,1,j_780561,1,Terminated,294692,294697,100,0.49
J1_15_19,7,j_783047,1,Terminated,684476,684485,100,0.59
J1_4_6_7,9,j_808649,1,Terminated,613961,614111,100,0.59
M1_3_6,3,j_832428,1,Terminated,520288,520620,50,0.39
J1_11_14,3,j_846556,1,Terminated,215434,215456,100,0.59
J1_14,1,j_872768,1,Terminated,205688,205707,100,0.59
R1_4_5_6_7,1,j_890540,1,Terminated,576573,576574,100,0.49
J1_7_13,9,j_929377,1,Terminated,338529,339021,50,0.59
J1_5,3,j_945745,1,Terminated,285295,285342,50,0.3
J1_9_10_11,25,j_954824,1,Terminated,631714,631766,50,0.39
J1_11_42,3,j_986497,1,Terminated,617224,617324,50,0.3
J1_19_21,1,j_1002399,1,Terminated,639146,639152,100,0.59
M1_2_5_7,1,j_1012129,1,Terminated,432796,432807,100,0.2
M1_6_9_22_25,1,j_1020339,1,Terminated,91185,91319,50,0.39
J1_18_19,1,j_1034622,1,Terminated,280897,280925,50,0.2
J1_22_26,1,j_1070179,1,Terminated,374721,374749,100,0.59
J1_30_33,1,j_1072761,1,Terminated,459717,459737,100,0.59
M1_3_5_7,1,j_1113936,1,Terminated,456157,456159,100,0.3
M1_5_7,1,j_1207612,1,Terminated,318893,318895,100,0.3
M1_6_7_8,1,j_1278489,1,Terminated,97795,97802,100,0.2
J1_3_5_7,3,j_1378229,1,Terminated,623030,623035,100,0.59
J1_6_8_11_12,69,j_1422974,1,Terminated,441953,442965,50,0.39
J1_2_19,3,j_1450788,1,Terminated,620196,620239,50,0.2
J1_8_12,1,j_1490149,1,Terminated,535017,535405,50,0.2
J1_4_25,1,j_1513975,1,Terminated,491924,492002,100,0.59
J1_68_73,1,j_1605225,1,Terminated,202586,202604,100,0.59
M1_4_6_8,1,j_1622609,1,Terminated,164486,164501,50,0.2
R1_33,1,j_1650793,1,Terminated,286615,286647,50,0.2
J1_12_15,17,j_1664973,1,Terminated,137888,137911,100,0.59
J1_6,1,j_1683997,1,Terminated,205468,205564,100,0.59
J1_11_13,5,j_1718301,1,Terminated,440053,440067,100,0.59
J1_21_26,1,j_1784039,1,Terminated,582984,582992,100,0.59
R1_5_12,1,j_1808683,1,Terminated,533616,533620,100,0.39
J1_4_9_11,5,j_1841883,1,Terminated,118815,118822,100,0.59
M1_3_4_5,1,j_1858675,1,Terminated,607967,607970,100,0.2
J1_2_4_5,1,j_1871809,1,Terminated,462560,462775,50,0.3
R1_48,1,j_1897049,1,Terminated,282578,282601,50,0.2
J1_4_5_6,9,j_1897945,1,Terminated,443156,443252,50,0.39
J1_10_12,1,j_1922535,1,Terminated,174095,174152,50,0.2
R1_3_7,3,j_1989592,1,Terminated,585494,585497,100,0.49
J1_12,1,j_2026204,1,Terminated,354386,354390,50,0.2
R1_7_8_9_10_11_12,5,j_2083255,1,Terminated,536540,536575,100,0.49
R1_63,1,j_2086871,1,Terminated,190645,190651,100,0.49
R1_29,3,j_2123492,1,Terminated,178511,178539,100,0.49
J1_13_15,1,j_2192439,1,Terminated,288512,288760,50,0.2
R1_65,1,j_2358704,1,Terminated,206073,206078,100,0.39
R1_41,3,j_2433245,1,Terminated,139884,139901,100,0.49
R1_15_27,1,j_2465675,1,Terminated,333194,333198,100,0.49
M1_16_19,1,j_2605302,1,Terminated,221527,221536,100,0.3
M1_2_4,329,j_2687615,1,Terminated,337494,337509,100,0.3
J1_3_25_28,5,j_2725664,1,Terminated,461352,461378,100,0.59
J1_39_40,3,j_2855373,1,Terminated,530864,530898,50,0.2
J1_2_3_4_5,1197,j_2863484,1,Terminated,464403,467863,50,0.39
R1_58,1,j_2924180,1,Terminated,190770,190776,100,0.49
J1_3_25,75,j_2957492,1,Terminated,300518,300606,100,0.59
J1_4_7_11,1,j_3012592,1,Terminated,381765,381784,50,0.2
J1_19_23,93,j_3065259,1,Terminated,383389,383413,100,0.59
R1_39,1,j_3072273,1,Terminated,523033,523054,50,0.2
J1_3_12,1111,j_3081814,1,Terminated,464864,464895,100,0.64
R1_132,1,j_3093365,1,Terminated,352124,352132,50,0.2
R1_62,1,j_3148465,1,Terminated,180568,180681,50,0.3
J1_25_27,1,j_3166460,1,Running,115364,0,,
J1_29_35,3,j_3167530,1,Terminated,195152,195371,50,0.49
J1_6_12,1,j_3234874,1,Terminated,257321,257712,50,0.2
J1_16_25,1,j_3274576,1,Terminated,201410,201998,50,0.2
J1_3_28,1,j_3372354,1,Terminated,195328,195681,50,0.2
R1_4_12,5,j_3581029,1,Terminated,372012,372019,100,0.49
R1_59,1,j_3615061,1,Terminated,362725,362734,100,0.49
J1_3_4_6_8,5,j_3615574,1,Terminated,550883,550913,100,0.59
R1_55,1,j_3649910,1,Terminated,622832,622843,100,0.49
M1_3_4_5_6_7_8_9_10_11_12_13_14,3,j_3736878,1,Terminated,432035,432044,100,0.2
M1_2_16,35,j_3779461,1,Terminated,244892,244915,100,0.3
R1_6_7_9,1,j_3792723,1,Terminated,175440,175503,50,0.39
M1_5_8_10_12_14_16_18_20_22_23_25,5,j_3823573,1,Terminated,619270,619432,50,0.39
J1_9_19,9,j_3832575,1,Terminated,302554,302565,100,0.59
R1_120,1,j_4046204,1,Terminated,620621,620629,100,0.49
J1_4_5_6_9,1,j_4140287,1,Terminated,473758,473772,100,0.59
R1_37,1,j_4147052,1,Terminated,463436,463645,50,0.3
J1_3_5_8,139,j_396892,1,Terminated,581294,581312,100,0.64
M1_3_6_9_12,1,j_464643,1,Terminated,283757,283776,100,0.39
J1_25_26,3,j_484777,1,Terminated,584998,585017,100,0.59
J1_4_5_14,25,j_535992,1,Terminated,133498,133530,100,0.59
J1_7_8_10,1,j_615065,1,Terminated,188317,188399,50,0.2
J1_3_16,3,j_622290,1,Terminated,532736,532764,100,0.59
M1_18_21,1,j_984170,1,Terminated,256870,256882,100,0.3
J1_5_16,1,j_1109488,1,Running,670211,670232,,
M1_10_13,1,j_1163772,1,Terminated,277575,277586,100,0.3
M1_17_20,1,j_1470567,1,Terminated,168260,168271,100,0.3
M1_4_8_11,561,j_1540069,1,Terminated,365404,365811,50,0.39
M1_Stg3,1716,j_1848816,1,Terminated,150339,150353,100,0.39
J1_3_15,1,j_1974336,1,Terminated,274071,274112,50,0.2
J1_6_18,999,j_2134122,1,Terminated,630772,631075,100,0.59
M1_6_8_10_12_14,3,j_2322906,1,Terminated,346326,346333,100,0.49
J1_2_4_12,3,j_2347502,1,Terminated,147107,147109,100,0.49
J1_44,1,j_2351741,1,Terminated,552014,552018,100,0.59
M1_2_11,,j_2367105,1,Waiting,0,0,,
M1_3_10,373,j_2485885,1,Terminated,656094,656178,100,0.3
R1_56,1,j_3022704,1,Terminated,665520,665527,100,0.49
M1_7_9,373,j_3060825,1,Terminated,655405,655461,100,0.3
J1_3_6_7,1111,j_3195129,1,Terminated,614913,615044,100,0.59
R1_88,1,j_3247046,1,Terminated,206091,206096,100,0.39
R1_10_11_12,19,j_847568,1,Terminated,620925,620953,100,0.49
M1_12_15,1,j_1434849,1,Terminated,676888,676892,100,0.3
R1_9_10,1,j_2522638,1,Terminated,112356,112378,50,0.2
R1_61,1,j_3582817,1,Terminated,533754,533761,100,0.49
M1_24_27,1,j_3870911,1,Terminated,236663,236675,100,0.3
R2_1,1,j_2,1,Terminated,87076,87086,50,0.2
M2,1,j_66,1,Terminated,178509,178513,50,0.3
R2_5,1,j_79,1,Terminated,349657,349658,100,0.39
J2_1_13,1,j_102,1,Terminated,118960,119251,50,0.2
J2_1_6,1,j_245,1,Terminated,278018,278456,50,0.2
J2_1,75,j_702,1,Terminated,240294,240685,50,0.39
J2_1_8,1,j_822,1,Terminated,232638,232702,100,0.59
J2_1_3,1,j_863,1,Failed,292236,292253,50,0.2
J2_1_4,19,j_1430,1,Terminated,281519,281676,50,0.39
J2_1_32,3,j_1431,1,Terminated,638887,638913,100,0.59
R2_43,1,j_1603,1,Terminated,622687,622697,50,0.2
R2_7,3,j_2016,1,Terminated,205308,206666,50,0.39
R2_4,1,j_2041,1,Terminated,358322,358327,100,0.49
J2_3,5,j_3110,1,Terminated,153188,153204,100,0.59
R2_3,1,j_3289,1,Terminated,285732,285791,50,0.2
R2_11,1,j_3535,1,Terminated,247938,247940,50,0.2
R2_10,1,j_4268,1,Terminated,518448,518449,100,0.39
R2_8,1,j_5172,1,Terminated,655985,656047,50,0.2
M2_4,1,j_6820,1,Terminated,107422,107428,50,0.2
J2_1_9_11,9,j_8167,1,Terminated,321205,321346,100,0.59
M2_1,1,j_8188,1,Terminated,579923,579924,50,0.2
J2_1_18,1,j_8448,1,Terminated,163507,163514,50,0.2
R2_6,1,j_8781,1,Terminated,87134,87135,50,0.2
J2_1_12,3,j_8873,1,Terminated,113072,113074,100,0.59
R2_15,1,j_11083,1,Terminated,174563,174570,100,0.49
R2_9,1,j_11619,1,Terminated,353547,353548,100,0.49
J2_1_9,53,j_12705,1,Terminated,681312,681324,100,0.59
J2_11_12,7,j_12951,1,Terminated,524496,524570,50,0.39
J2_1_5,1,j_13180,1,Terminated,356180,356548,50,0.2
R2_13,1,j_13569,1,Terminated,663724,663728,50,0.2
J2_4_6_7,1,j_14595,1,Terminated,198399,198416,50,0.2
J2_5_6,7,j_15961,1,Terminated,88825,88834,100,0.59
R2_24,1,j_16092,1,Terminated,318194,318211,50,0.2
R2_25,1,j_17008,1,Terminated,591902,591920,50,0.2
M2_6,1,j_18308,1,Terminated,424646,424647,100,0.3
J2_4_5,1111,j_18568,1,Terminated,156304,156346,100,0.59
R2_1_Stg8,11,j_19100,1,Terminated,586048,586193,100,0.39
J2_1_10_11,211,j_19116,1,Terminated,549081,549170,100,0.59
R2_21,1,j_20598,1,Terminated,236800,236801,100,0.49
R2_16,1,j_22107,1,Terminated,168690,168691,100,0.49
R2_18,1,j_22464,1,Terminated,157521,157527,100,0.49
J2_9,9,j_22823,1,Terminated,347886,348212,50,0.49
J2_1_10,3,j_24886,1,Terminated,533364,533366,100,0.59
M2_4_6,1305,j_26351,1,Terminated,90407,90668,50,0.59
R2_1_4,1,j_26530,1,Terminated,123566,123571,100,0.39
J2_6_9,15,j_29579,1,Terminated,323575,323623,100,0.59
J2_4_8,21,j_29625,1,Terminated,142518,142616,50,0.39
M2_1_4_5,1,j_30008,1,Terminated,144378,144381,50,0.2
J2_1_26,3,j_30375,1,Terminated,436033,436070,100,0.59
R2_26,15,j_39627,1,Terminated,605654,605664,100,0.49
R2_30,1,j_39942,1,Terminated,376215,376217,50,0.2
J2_7_16,1,j_40049,1,Terminated,530343,530382,100,0.59
R2_14,3,j_42473,1,Terminated,633616,633637,100,0.49
J2_9_15,1111,j_45883,1,Terminated,222243,222280,100,0.59
J2_3_4,3,j_46086,1,Terminated,326213,326247,100,0.59
R2_12,1,j_46841,1,Terminated,443185,443191,100,0.49
R2_20,9,j_50909,1,Terminated,440526,440550,100,0.49
J2_1_7,13,j_51497,1,Terminated,301719,301721,100,0.59
R2_45,1,j_56261,1,Terminated,626885,626899,100,0.39
R2_1_3,1,j_57756,1,Terminated,421241,422015,50,0.2
J2_1_3_6,61,j_60831,1,Failed,671839,671948,50,0.39
J2_3_34,1,j_67340,1,Terminated,260276,260289,50,0.2
M2_5_7_9,1,j_67469,1,Terminated,532025,532029,100,0.2
R2_1_6,1,j_70149,1,Terminated,606915,606949,50,0.2
J2_1_9_10,3,j_76423,1,Terminated,130334,130337,100,0.59
R2_3_6,103,j_77609,1,Terminated,266677,266866,50,0.39
J2_4_7,139,j_79476,1,Terminated,335164,335364,50,0.39
J2_4,6,j_80597,1,Terminated,236148,236159,100,0.59
J2_1_14,119,j_80680,1,Terminated,148473,148486,100,0.59
J2_5_8,,j_87994,1,Waiting,0,0,,
R2_3_4,1,j_88310,1,Terminated,574925,574926,100,0.49
R2_1_11,15,j_103736,1,Terminated,191669,191683,100,0.49
M2_8,15,j_104139,1,Terminated,534829,534837,100,0.3
J2_10_13,729,j_107102,1,Terminated,504099,504801,50,0.39
J2_1_7_8,11,j_107387,1,Terminated,283817,283867,100,0.59
J2_6_10,179,j_118940,1,Terminated,194524,194554,100,0.59
M2_11_13,1,j_120271,1,Terminated,543348,543361,50,0.2
J2_6,5,j_120293,1,Terminated,330040,330053,100,0.59
J2_1_19,7,j_121262,1,Terminated,451683,451692,100,0.59
J2_1_11,3,j_124096,1,Terminated,295335,295373,100,0.59
M2_5,15,j_128015,1,Terminated,532902,532952,100,0.3
R2_19,3,j_132660,1,Terminated,201421,201617,50,0.2
R2_1_9,1,j_147805,1,Terminated,154229,154230,100,0.49
M2_6_9_25,1,j_149803,1,Terminated,608610,608635,100,0.3
R2_1_10_12_17_21_23_30_34,1,j_162073,1,Terminated,193591,193613,100,0.49
R2_17,411,j_166251,1,Terminated,119034,126395,50,0.39
J2_6_7,1,j_172546,1,Terminated,272853,272865,50,0.2
J2_1_4_5,3,j_174030,1,Terminated,583690,583692,100,0.59
J2_7_8,1,j_194896,1,Terminated,455623,455902,50,0.2
J2_3_6,151,j_197803,1,Terminated,180195,180225,100,0.59
J2_8_11,1111,j_202471,1,Terminated,403038,403490,100,0.59
R2_3_4_5_6,1,j_208163,1,Terminated,361458,361747,50,0.2
J2_9_10,13,j_230369,1,Terminated,122641,122827,50,0.3
J2_1_7_16,989,j_236003,1,Terminated,546702,547080,100,0.79
J2_1_3_8,463,j_242786,1,Terminated,615881,615908,100,0.59
J2_1_40,28,j_248952,1,Terminated,209238,209255,100,0.59
R2_27,1,j_249619,1,Terminated,393679,393683,100,0.39
R2_1_Stg1,1,j_256657,1,Running,558169,558169,,
R2_23,1,j_258735,1,Terminated,369534,369545,50,0.2
J2_1_6_15,41,j_281055,1,Running,197257,197370,50,0.39
J2_1_77,13,j_283367,1,Terminated,576102,576232,100,0.59
R2_47,1,j_292408,1,Terminated,372841,373682,50,0.2
J2_1_3_4_5_6_7,39,j_293044,1,Terminated,669282,669473,50,0.39
J2_6_11,96,j_297158,1,Terminated,618569,619502,50,0.39
J2_1_5_6,1,j_298517,1,Terminated,520209,520212,100,0.59
J2_6_14,1,j_303826,1,Terminated,289371,289444,50,0.2
R2_1_5,1,j_308108,1,Terminated,520963,521061,50,0.2
J2_1_6_7,19,j_316550,1,Terminated,110039,110178,50,0.3
J2_3_5,5,j_319618,1,Terminated,221801,221867,100,0.59
J2_1_4_8_10,85,j_327060,1,Terminated,601341,601351,100,0.59
M2_6_8_10_12,1,j_330322,1,Terminated,278444,278446,50,0.2
J2_1_5_10,93,j_347710,1,Terminated,458327,458513,50,0.39
J2_1_5_7_8,1,j_352781,1,Terminated,349767,349780,50,0.2
M2_1_4_10_14,7,j_367938,1,Terminated,272355,272381,50,0.39
R2_31,3,j_369448,1,Terminated,265053,265173,100,0.49
J2_1_4_5_7,5,j_379696,1,Terminated,318866,318871,100,0.59
M2_7,3,j_380487,1,Terminated,630330,630615,50,0.39
J2_16_17_29,1,j_391414,1,Terminated,453687,453705,100,0.59
R2_33,1,j_397183,1,Terminated,677961,677964,50,0.2
M2_1_16_18_21,77,j_404462,1,Terminated,293819,293837,100,0.39
J2_8_10,1,j_404497,1,Terminated,116063,116398,50,0.2
J2_1_3_4_5_6,33,j_421180,1,Terminated,367155,367236,50,0.39
R2_32,1,j_426378,1,Terminated,370662,370674,100,0.49
J2_5_9_10,1,j_430615,1,Terminated,627818,627845,50,0.2
J2_1_3_4,699,j_441481,1,Terminated,478838,478883,50,0.39
J2_1_3_7_8,83,j_447551,1,Terminated,428550,428560,100,0.59
R2_50,1,j_467376,1,Terminated,360915,361722,50,0.2
R2_1_15,17,j_479172,1,Terminated,364267,364273,100,0.49
J2_13_16,253,j_482176,1,Terminated,366445,370740,50,0.39
M2_6_9,45,j_490957,1,Terminated,452599,452813,50,0.39
J2_1_17,1,j_497197,1,Terminated,188797,189025,50,0.2
J2_8_9,1,j_509014,1,Terminated,372950,372979,50,0.2
J2_1_16,59,j_520244,1,Terminated,112386,112434,100,0.59
M2_1_6,1,j_522937,1,Terminated,189939,189942,100,0.3
M2_1_8,771,j_523973,1,Terminated,108939,109121,50,0.59
M2_9,1,j_532208,1,Terminated,287397,287409,50,0.2
R2_22,341,j_547523,1,Terminated,366397,368016,100,0.49
J2_51_52,1,j_558986,1,Terminated,186791,186794,50,0.2
R2_35,188,j_560607,1,Terminated,464275,465521,50,0.39
M2_5_7_9_11,1,j_566844,1,Terminated,362726,362730,50,0.2
R2_44,1,j_567198,1,Terminated,277782,277801,100,0.49
M2_6_8,1,j_568478,1,Terminated,346155,346156,50,0.2
J2_1_4_9,1,j_572877,1,Terminated,88909,88920,50,0.2
R2_60,1,j_597534,1,Terminated,623174,623182,100,0.49
J2_14_15_16,1,j_642638,1,Terminated,365079,365086,50,0.2
J2_7_13,1,j_655534,1,Terminated,630301,630388,50,0.2
R2_39,1,j_715965,1,Terminated,534423,534428,100,0.49
M2_23,1,j_719698,1,Terminated,361131,361137,100,0.3
